#Tamano	Tiempo medio	Medio OB	Maximo OB	Minimo OB
1000	0.0000000	8.9870000	10	1
1100	0.0000000	9.1490909	11	1
1200	0.0000000	9.3033333	11	1
1300	0.0000000	9.4338462	11	1
1400	0.0000000	9.5457143	11	1
1500	0.0000000	9.6426667	11	1
1600	0.0000000	9.7275000	11	1
1700	0.0020000	9.8023529	11	1
1800	0.0000000	9.8688889	11	1
1900	0.0000000	9.9284211	11	1
2000	0.0020000	9.9820000	11	1
2100	0.0020000	10.0557143	12	1
2200	0.0020000	10.1440909	12	1
2300	0.0040000	10.2247826	12	1
2400	0.0000000	10.2987500	12	1
2500	0.0000000	10.3668000	12	1
2600	0.0020000	10.4296154	12	1
2700	0.0000000	10.4877778	12	1
2800	0.0040000	10.5417857	12	1
2900	0.0020000	10.5920690	12	1
3000	0.0000000	10.6390000	12	1
3100	0.0020000	10.6829032	12	1
3200	0.0000000	10.7240625	12	1
3300	0.0000000	10.7627273	12	1
3400	0.0020000	10.7991176	12	1
3500	0.0020000	10.8334286	12	1
3600	0.0020000	10.8658333	12	1
3700	0.0020000	10.8964865	12	1
3800	0.0000000	10.9255263	12	1
3900	0.0040000	10.9530769	12	1
4000	0.0020000	10.9792500	12	1
4100	0.0040000	11.0053659	13	1
4200	0.0000000	11.0528571	13	1
4300	0.0020000	11.0981395	13	1
4400	0.0040000	11.1413636	13	1
4500	0.0040000	11.1826667	13	1
4600	0.0020000	11.2221739	13	1
4700	0.0020000	11.2600000	13	1
4800	0.0000000	11.2962500	13	1
4900	0.0040000	11.3310204	13	1
5000	0.0020000	11.3644000	13	1
5100	0.0040000	11.3964706	13	1
5200	0.0000000	11.4273077	13	1
5300	0.0000000	11.4569811	13	1
5400	0.0000000	11.4855556	13	1
5500	0.0020000	11.5130909	13	1
5600	0.0020000	11.5396429	13	1
5700	0.0040000	11.5652632	13	1
5800	0.0020000	11.5900000	13	1
5900	0.0040000	11.6138983	13	1
6000	0.0000000	11.6370000	13	1
6100	0.0040000	11.6593443	13	1
6200	0.0040000	11.6809677	13	1
6300	0.0040000	11.7019048	13	1
6400	0.0040000	11.7221875	13	1
6500	0.0040000	11.7418462	13	1
6600	0.0060000	11.7609091	13	1
6700	0.0020000	11.7794030	13	1
6800	0.0020000	11.7973529	13	1
6900	0.0020000	11.8147826	13	1
7000	0.0060000	11.8317143	13	1
7100	0.0060000	11.8481690	13	1
7200	0.0040000	11.8641667	13	1
7300	0.0020000	11.8797260	13	1
7400	0.0040000	11.8948649	13	1
7500	0.0040000	11.9096000	13	1
7600	0.0040000	11.9239474	13	1
7700	0.0060000	11.9379221	13	1
7800	0.0020000	11.9515385	13	1
7900	0.0040000	11.9648101	13	1
8000	0.0040000	11.9777500	13	1
8100	0.0040000	11.9903704	13	1
8200	0.0020000	12.0037805	14	1
8300	0.0020000	12.0278313	14	1
8400	0.0020000	12.0513095	14	1
8500	0.0040000	12.0742353	14	1
8600	0.0040000	12.0966279	14	1
8700	0.0020000	12.1185057	14	1
8800	0.0020000	12.1398864	14	1
8900	0.0080000	12.1607865	14	1
9000	0.0060000	12.1812222	14	1
9100	0.0000000	12.2012088	14	1
9200	0.0080000	12.2207609	14	1
9300	0.0060000	12.2398925	14	1
9400	0.0020000	12.2586170	14	1
9500	0.0020000	12.2769474	14	1
9600	0.0080000	12.2948958	14	1
9700	0.0040000	12.3124742	14	1
9800	0.0060000	12.3296939	14	1
9900	0.0060000	12.3465657	14	1
10000	0.0060000	12.3631000	14	1
