#Tamano	Tiempo medio	Medio OB	Maximo OB	Minimo OB
1000	0.0000000	500.5000000	1000	1
1100	0.0000000	550.5000000	1100	1
1200	0.0020000	600.5000000	1200	1
1300	0.0020000	650.5000000	1300	1
1400	0.0040000	700.5000000	1400	1
1500	0.0020000	750.5000000	1500	1
1600	0.0060000	800.5000000	1600	1
1700	0.0040000	850.5000000	1700	1
1800	0.0040000	900.5000000	1800	1
1900	0.0060000	950.5000000	1900	1
2000	0.0040000	1000.5000000	2000	1
2100	0.0080000	1050.5000000	2100	1
2200	0.0080000	1100.5000000	2200	1
2300	0.0100000	1150.5000000	2300	1
2400	0.0080000	1200.5000000	2400	1
2500	0.0100000	1250.5000000	2500	1
2600	0.0080000	1300.5000000	2600	1
2700	0.0100000	1350.5000000	2700	1
2800	0.0100000	1400.5000000	2800	1
2900	0.0120000	1450.5000000	2900	1
3000	0.0120000	1500.5000000	3000	1
3100	0.0160000	1550.5000000	3100	1
3200	0.0140000	1600.5000000	3200	1
3300	0.0160000	1650.5000000	3300	1
3400	0.0180000	1700.5000000	3400	1
3500	0.0200000	1750.5000000	3500	1
3600	0.0160000	1800.5000000	3600	1
3700	0.0180000	1850.5000000	3700	1
3800	0.0200000	1900.5000000	3800	1
3900	0.0200000	1950.5000000	3900	1
4000	0.0220000	2000.5000000	4000	1
4100	0.0220000	2050.5000000	4100	1
4200	0.0260000	2100.5000000	4200	1
4300	0.0240000	2150.5000000	4300	1
4400	0.0280000	2200.5000000	4400	1
4500	0.0260000	2250.5000000	4500	1
4600	0.0280000	2300.5000000	4600	1
4700	0.0260000	2350.5000000	4700	1
4800	0.0300000	2400.5000000	4800	1
4900	0.0320000	2450.5000000	4900	1
5000	0.0340000	2500.5000000	5000	1
5100	0.0360000	2550.5000000	5100	1
5200	0.0340000	2600.5000000	5200	1
5300	0.0320000	2650.5000000	5300	1
5400	0.0400000	2700.5000000	5400	1
5500	0.0400000	2750.5000000	5500	1
5600	0.0440000	2800.5000000	5600	1
5700	0.0480000	2850.5000000	5700	1
5800	0.0460000	2900.5000000	5800	1
5900	0.0500000	2950.5000000	5900	1
6000	0.0520000	3000.5000000	6000	1
6100	0.0520000	3050.5000000	6100	1
6200	0.0520000	3100.5000000	6200	1
6300	0.0520000	3150.5000000	6300	1
6400	0.0540000	3200.5000000	6400	1
6500	0.0560000	3250.5000000	6500	1
6600	0.0580000	3300.5000000	6600	1
6700	0.0640000	3350.5000000	6700	1
6800	0.0640000	3400.5000000	6800	1
6900	0.0640000	3450.5000000	6900	1
7000	0.0680000	3500.5000000	7000	1
7100	0.0700000	3550.5000000	7100	1
7200	0.0720000	3600.5000000	7200	1
7300	0.0720000	3650.5000000	7300	1
7400	0.0740000	3700.5000000	7400	1
7500	0.0740000	3750.5000000	7500	1
7600	0.0800000	3800.5000000	7600	1
7700	0.0800000	3850.5000000	7700	1
7800	0.0800000	3900.5000000	7800	1
7900	0.0860000	3950.5000000	7900	1
8000	0.0900000	4000.5000000	8000	1
8100	0.0900000	4050.5000000	8100	1
8200	0.0900000	4100.5000000	8200	1
8300	0.0920000	4150.5000000	8300	1
8400	0.0960000	4200.5000000	8400	1
8500	0.0960000	4250.5000000	8500	1
8600	0.1000000	4300.5000000	8600	1
8700	0.0980000	4350.5000000	8700	1
8800	0.1080000	4400.5000000	8800	1
8900	0.1100000	4450.5000000	8900	1
9000	0.1060000	4500.5000000	9000	1
9100	0.1080000	4550.5000000	9100	1
9200	0.1200000	4600.5000000	9200	1
9300	0.1180000	4650.5000000	9300	1
9400	0.1220000	4700.5000000	9400	1
9500	0.1240000	4750.5000000	9500	1
9600	0.1260000	4800.5000000	9600	1
9700	0.1240000	4850.5000000	9700	1
9800	0.1280000	4900.5000000	9800	1
9900	0.1320000	4950.5000000	9900	1
10000	0.1360000	5000.5000000	10000	1
